wire [31:0] if_pc_w;
[605000][IF-SIGNAL] PC_NEXT=000000b8 PC=000000bc | INSTR=00000013 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[615000][IF-SIGNAL] PC_NEXT=000000bc PC=000000c0 | INSTR=00008fe7 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[625000][IF-SIGNAL] PC_NEXT=000000c0 PC=000000bc | INSTR=123453b7 | if_pc_bj_w=000000bc | if_bj_taken_w=1
[635000][IF-SIGNAL] PC_NEXT=000000bc PC=000000c0 | INSTR=00008fe7 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[645000][IF-SIGNAL] PC_NEXT=000000c0 PC=000000c4 | INSTR=123453b7 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[655000][IF-SIGNAL] PC_NEXT=000000c4 PC=000000c8 | INSTR=00010417 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[665000][IF-SIGNAL] PC_NEXT=000000c8 PC=00000000 | INSTR=0ff0000f | if_pc_bj_w=00000000 | if_bj_taken_w=1
[675000][IF-SIGNAL] PC_NEXT=00000000 PC=00000004 | INSTR=00100093 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[685000][IF-SIGNAL] PC_NEXT=00000004 PC=00000008 | INSTR=00200113 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[695000][IF-SIGNAL] PC_NEXT=00000008 PC=0000000c | INSTR=00300193 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[705000][IF-SIGNAL] PC_NEXT=0000000c PC=00000010 | INSTR=00400213 | if_pc_bj_w=00000001 | if_bj_taken_w=0
[715000][IF-SIGNAL] PC_NEXT=00000010 PC=00000014 | INSTR=00500293 | if_pc_bj_w=00000006 | if_bj_taken_w=0
[725000][IF-SIGNAL] PC_NEXT=00000014 PC=00000018 | INSTR=00208333 | if_pc_bj_w=0000000b | if_bj_taken_w=0
[735000][IF-SIGNAL] PC_NEXT=00000018 PC=0000001c | INSTR=401183b3 | if_pc_bj_w=00000010 | if_bj_taken_w=0
[745000][IF-SIGNAL] PC_NEXT=0000001c PC=00000020 | INSTR=00209433 | if_pc_bj_w=00000015 | if_bj_taken_w=0
[755000][IF-SIGNAL] PC_NEXT=00000020 PC=00000024 | INSTR=0020a4b3 | if_pc_bj_w=00000014 | if_bj_taken_w=0
[765000][IF-SIGNAL] PC_NEXT=00000024 PC=00000028 | INSTR=0020b533 | if_pc_bj_w=00000018 | if_bj_taken_w=0
[775000][IF-SIGNAL] PC_NEXT=00000028 PC=0000002c | INSTR=0020c5b3 | if_pc_bj_w=0000001c | if_bj_taken_w=0
[785000][IF-SIGNAL] PC_NEXT=0000002c PC=00000030 | INSTR=00115633 | if_pc_bj_w=00000020 | if_bj_taken_w=0
[795000][IF-SIGNAL] PC_NEXT=00000030 PC=00000034 | INSTR=401156b3 | if_pc_bj_w=00000024 | if_bj_taken_w=0
